name,distance,stellar_magnitude,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,orbital_radius_bin,habitable_zone,planet_surface_temperature,atmospheric_pressure,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,combined_planetary_composition_hypothesis
55 Cancri c,41.0,5.95084,2004,0.1714,1.898e+27,0.76,71492.0,0.2373,0.12156058,0.03,Radial Velocity,0.130264,1.4121343320000002,<0.5,No,Temperate,Low,Medium,Low,3.253172e+26,54333.92,7354466.093219661,Low,Medium,Unknown,Low,0.9999689714712864,1.116088592853151,Extremely Low,Shadow World
55 Cancri d,41.0,5.95084,2002,3.878,1.898e+27,1.16,71492.0,5.957,15.3,0.13,Radial Velocity,4.49848,35.449153880000004,>2,No,Cold,Low,Medium,Low,7.360444e+27,82930.72,71426495.67686693,Low,High,Unknown,Medium,0.9992069539715692,1.1153265753534338,Extremely Low,Methane World
55 Cancri e,41.0,5.95084,2004,7.99,5.972e+24,1.875,6371.0,0.01544,0.0019164955,0.05,Radial Velocity,14.98125,0.0918809696,<0.5,No,Hot,Unknown,Medium,Medium,4.771628000000001e+25,11945.625,22316959.556892306,Low,Medium,Unknown,Medium,0.9999985291757963,1.1161181505576612,Extremely Low,Shadow World
55 Cancri f,41.0,5.95084,2007,0.141,1.898e+27,0.677,71492.0,0.7708,0.7115674,0.08,Radial Velocity,0.095457,4.586907472000001,0.5-1,Yes,Temperate,Low,Medium,Low,2.67618e+26,48400.084,7624463.545825171,Low,Medium,Unknown,Low,0.9998978949574656,1.1160175163393304,Extremely Low,Shadow World
61 Virginis b,28.0,4.6955,2009,5.1,5.972e+24,2.11,6371.0,0.050201,0.011498973,0.12,Radial Velocity,10.761,0.2357187955,<0.5,No,Hot,Unknown,Medium,Medium,3.04572e+25,13442.81,11248537.401981398,Low,Low,Unknown,Unknown,0.9999938980779578,1.087412161373033,Extremely Low,Shadow World
61 Virginis c,28.0,4.6955,2009,18.2,5.972e+24,0.398,71492.0,0.2175,0.10403833,0.14,Radial Velocity,7.2436,1.02127125,<0.5,No,Hot,Unknown,Medium,Low,1.086904e+26,28453.816000000003,8959759.488471601,Low,Medium,Unknown,Unknown,0.9999716093625208,1.087389872657596,Extremely Low,Shadow World
61 Virginis d,28.0,4.6955,2009,22.9,5.972e+24,0.456,71492.0,0.476,0.33675563,0.35,Radial Velocity,10.4424,2.235058,<0.5,No,Hot,Unknown,Medium,Low,1.367588e+26,32600.352000000003,8588096.287676292,Low,Medium,Unknown,Unknown,0.9999371702269584,1.0873554335220337,Extremely Low,Methane World
6 Lyncis b,178.0,5.87307,2008,2.01,1.898e+27,1.19,71492.0,2.11,2.6,0.07,Radial Velocity,2.3919,12.3921777,>2,No,Cold,Low,Medium,Low,3.81498e+27,85075.48,35177879.07410251,Low,High,Unknown,Medium,0.9997194775866908,1.1140610112644995,Extremely Low,Volcanic World
70 Virginis b,58.0,4.96808,1996,7.49,1.898e+27,1.13,71492.0,0.481,0.31950718,0.4,Radial Velocity,8.4637,2.38964648,<0.5,No,Temperate,Low,Medium,Low,1.421602e+28,80785.95999999999,145375910.4979083,Unknown,High,Unknown,Medium,0.9999365040928082,1.0935868767664558,Extremely Low,Iron World
75 Ceti b,271.0,5.3532,2012,3.0,1.898e+27,1.17,71492.0,2.1,1.9,0.12,Radial Velocity,3.51,11.24172,>2,No,Cold,Low,Medium,Low,5.694e+27,83645.64,54314657.87088726,Low,High,Unknown,Medium,0.9997208098549912,1.1021763405148293,Extremely Low,Canyon World
