name,distance,stellar_magnitude,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,orbital_radius_bin,habitable_zone,planet_surface_temperature,atmospheric_pressure,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,combined_planetary_composition_hypothesis
Kepler-158 b,1028.0,14.743,2014,5.14,5.972e+24,2.12,6371.0,0.111,0.045722112,0.0,Transit,10.8968,1.636473,<0.5,No,Hot,Unknown,Medium,Low,3.069608e+25,13506.52,11230062.889078414,Low,Low,Unknown,Unknown,0.9999857980199188,1.317124213128063,Moderately High,Rocky
Kepler-158 c,1028.0,14.743,2014,4.27,5.972e+24,1.9,6371.0,0.158,0.07830253,0.0,Transit,8.113,2.329394,<0.5,No,Hot,Unknown,Medium,Low,2.550044e+25,12104.9,11614792.736876491,Low,Medium,Unknown,Medium,0.9999795363589076,1.3171179514670517,Moderately High,Rocky
Kepler-1590 b,2515.0,14.186,2016,1.55,5.972e+24,1.14,6371.0,0.0772,0.020807665,0.0,Transit,1.767,1.0951592,<0.5,No,Hot,Unknown,Medium,High,9.2566e+24,7262.94,11711507.118240029,Low,Medium,Unknown,Medium,0.999990301086774,1.3043937946164277,Moderate,Methane World
Kepler-1591 b,4631.0,14.846,2016,2.15,5.972e+24,1.27,6371.0,0.0794,0.022450376,0.0,Transit,2.7305,1.1787724,<0.5,No,Hot,Unknown,Medium,High,1.28398e+25,8091.17,13089462.378668431,Low,Medium,Unknown,Medium,0.9999900079877478,1.319483354734284,Moderately High,Plateau World
Kepler-1592 b,5348.0,14.94,2016,2.99,5.972e+24,1.54,6371.0,0.04,0.008487337,0.0,Transit,4.6046000000000005,0.5976,<0.5,No,Hot,Unknown,Medium,High,1.785628e+25,9811.34,12379996.954848928,Low,Medium,Unknown,Medium,0.9999952571248508,1.321637764784095,Somewhat High,Magnetic World
Kepler-1593 b,2082.0,16.19,2016,10.2,5.972e+24,0.283,71492.0,0.546,0.47775495,0.0,Transit,2.8866,8.83974,0.5-1,No,Hot,Unknown,Medium,Low,6.09144e+25,20232.236,9931581.451158203,Low,Medium,Unknown,Unknown,0.9999278443488564,1.3501496194643166,Extremely High,Lava World
Kepler-1594 b,3187.0,14.951,2016,1.2,5.972e+24,1.06,6371.0,0.0396,0.0073921974,0.0,Transit,1.272,0.5920596,<0.5,No,Hot,Unknown,Unknown,High,7.1664e+24,6753.26,10487218.262174394,Low,Low,Unknown,Unknown,0.999995310415583,1.3218893156284413,Somewhat High,Methane World
Kepler-1595 b,2756.0,15.508,2016,2.04,5.972e+24,1.23,6371.0,0.051,0.012594113,0.0,Transit,2.5092,0.7909079999999999,<0.5,No,Hot,Unknown,Medium,High,1.218288e+25,7836.33,13240693.59967252,Low,Medium,Unknown,Medium,0.9999937916297208,1.3346227184210693,High,Jungle World
Kepler-1596 b,7001.0,15.632,2016,4.27,5.972e+24,1.9,6371.0,0.3237,0.1817933,0.0,Transit,8.113,5.0600784,<0.5,No,Hot,Unknown,Medium,Low,2.550044e+25,12104.9,11614792.736876491,Low,Medium,Unknown,Medium,0.9999574606731716,1.3374214507961768,High,Titanium World
Kepler-1597 b,3983.0,14.257,2016,1.2,5.972e+24,1.06,6371.0,0.0427,0.007939767,0.0,Transit,1.272,0.6087739,<0.5,No,Hot,Unknown,Unknown,High,7.1664e+24,6753.26,10487218.262174394,Low,Low,Unknown,Unknown,0.99999489741241,1.3060216933335769,Moderately High,Radiation World
Kepler-1598 b,2022.0,13.929,2016,0.809,5.972e+24,0.95,6371.0,0.0527,0.011772759,0.0,Transit,0.7685500000000001,0.7340582999999999,<0.5,No,Hot,Unknown,Unknown,High,4.8313480000000006e+24,6052.45,8802217.633848323,Low,Low,Unknown,Unknown,0.9999935651441096,1.2985211612847654,Moderate,Jungle World
Kepler-1599 b,4333.0,14.97,2016,3.26,5.972e+24,1.62,6371.0,0.4823,0.33511293,0.0,Transit,5.2812,7.220031,<0.5,No,Hot,Unknown,Medium,Low,1.946872e+25,10321.02,12197711.639605252,Low,Medium,Unknown,Medium,0.9999363308979292,1.322264740976122,Somewhat High,Nomad Planet
Kepler-159 b,1219.0,15.386,2014,6.26,5.972e+24,0.212,71492.0,0.082,0.027652293,0.0,Transit,1.32712,1.261652,<0.5,No,Hot,Unknown,Medium,High,3.738472e+25,15156.304,10861597.85779106,Low,Low,Unknown,Unknown,0.9999896615979896,1.3318292518856114,High,Rocky
Kepler-159 c,1219.0,15.386,2014,11.5,5.972e+24,0.304,71492.0,0.218,0.11937029,0.0,Transit,3.496,3.354148,<0.5,No,Hot,Unknown,Medium,Low,6.867800000000001e+25,21733.568,9703798.752996689,Low,Medium,Unknown,Unknown,0.9999715427491058,1.3318111330367275,High,Maelstrom World
Kepler-15 b,2412.0,13.81,2011,0.66,1.898e+27,0.96,71492.0,0.05714,0.013415469,0.06,Transit,0.6336,0.7891034000000001,<0.5,No,Temperate,Low,Medium,High,1.25268e+27,68632.31999999999,17748799.625738572,Low,High,Unknown,Medium,0.9999929736169842,1.295799823495808,Moderate,Maelstrom World
Kepler-1600 b,3363.0,16.076,2016,9.96,5.972e+24,0.279,71492.0,0.9712,1.0579056,0.0,Transit,2.7788400000000006,15.6130112,0.5-1,Yes,Temperate,Unknown,Medium,Low,5.948112000000001e+25,19946.268,9977966.462233374,Unknown,Medium,Unknown,Unknown,0.999871196300728,1.3474865422241813,Extremely High,Lava World
Kepler-1600 c,3363.0,16.076,2021,4.43,5.972e+24,1.942,6371.0,0.0689,0.019986311,0.0,Transit,8.60306,1.1076364,<0.5,No,Hot,Unknown,Medium,High,2.645596e+25,12372.482,11534428.102239588,Low,Medium,Unknown,Medium,0.9999914068694632,1.3476067527929163,Extremely High,Lava World
Kepler-1601 b,2102.0,13.842,2016,0.477,5.972e+24,0.82,6371.0,0.0336,0.006023272,0.0,Transit,0.39114,0.4650912,<0.5,No,Hot,Unknown,Unknown,High,2.848644e+24,5224.219999999999,6965967.846004183,Low,Low,Unknown,Unknown,0.9999961097765632,1.2965345889022664,Moderate,Canyon World
Kepler-1602 b,2054.0,13.362,2016,2.36,5.972e+24,1.34,6371.0,0.1074,0.030663928,0.0,Transit,3.1624,1.4350788,<0.5,No,Hot,Unknown,Medium,Low,1.409392e+25,8537.140000000001,12906045.665763898,Low,Medium,Unknown,Medium,0.999986277636507,1.2855503180590229,Moderately Low,Titanium World
Kepler-1603 b,8848.0,15.397,2016,2.21,5.972e+24,1.29,6371.0,0.0351,0.0062970566,0.0,Transit,2.8509,0.5404347,<0.5,No,Hot,Unknown,Medium,High,1.319812e+25,8218.59,13040782.28022551,Low,Medium,Unknown,Medium,0.9999959099363182,1.332086997777555,High,Canyon World
Kepler-1604 b,1765.0,15.224,2016,2.57,5.972e+24,1.41,6371.0,0.0089,0.0019164955,0.0,Transit,3.6237,0.1354936,<0.5,No,Hot,Unknown,Medium,High,1.534804e+25,8983.109999999999,12693625.735293508,Low,Medium,Unknown,Medium,0.9999994004792648,1.3281351177045608,Somewhat High,Maelstrom World
Kepler-1605 b,1782.0,12.592,2016,1.28,5.972e+24,1.08,6371.0,0.3912,0.23490761,0.0,Transit,1.3824,4.9259904,<0.5,No,Hot,Unknown,Unknown,Low,7.644160000000001e+24,6880.68,10775892.491430407,Low,Low,Unknown,Unknown,0.9999484678621448,1.2679076795316313,Somewhat Low,Storm World
Kepler-1606 b,2712.0,15.396,2016,4.94,5.972e+24,2.07,6371.0,0.6421,0.5377139,0.0,Transit,10.2258,9.8857716,0.5-1,No,Hot,Unknown,Medium,Low,2.950168e+25,13187.97,11320798.20815208,Low,Low,Unknown,Unknown,0.9999150412504904,1.331983265677762,High,Canyon World
Kepler-1607 b,4195.0,13.969,2016,0.721,5.972e+24,0.92,6371.0,0.1075,0.037234772,0.0,Transit,0.66332,1.5016675,<0.5,No,Hot,Unknown,Unknown,Low,4.305812e+24,5861.320000000001,8364700.609239492,Low,Low,Unknown,Unknown,0.999986264313824,1.2994283970130789,Moderate,Rocky
Kepler-1608 b,2714.0,16.265,2016,3.64,5.972e+24,1.73,6371.0,0.1126,0.04517454,0.0,Transit,6.2972,1.8314390000000005,<0.5,No,Hot,Unknown,Medium,Low,2.1738080000000003e+25,11021.83,11942629.756908046,Low,Medium,Unknown,Medium,0.9999855848569909,1.351922116019824,Extremely High,Lava World
Kepler-1609 b,5957.0,15.159,2016,5.56,5.972e+24,2.22,6371.0,0.4679,0.31293637,0.0,Transit,12.3432,7.0928961,<0.5,No,Hot,Unknown,Medium,Low,3.320432e+25,14143.62,11077955.949690918,Low,Low,Unknown,Unknown,0.9999382493642816,1.3265878446818544,Somewhat High,Rocky
Kepler-160 b,3057.0,14.816,2014,3.59,5.972e+24,1.715,6371.0,0.05511,0.011772759,0.0,Transit,6.15685,0.8165097600000001,<0.5,No,Hot,Unknown,Medium,High,2.143948e+25,10926.265,11985523.038125029,Low,Medium,Unknown,Medium,0.9999932440674492,1.3188006883950365,Moderately High,Rocky
Kepler-160 c,3057.0,14.816,2014,13.6,5.972e+24,0.335,71492.0,0.1192,0.037508555,0.0,Transit,4.556,1.7660672000000002,<0.5,No,Hot,Unknown,Medium,Low,8.12192e+25,23949.82,9450186.997452252,Low,Medium,Unknown,Unknown,0.9999847055599128,1.3187921498874997,Moderately High,Tidally Locked World
Kepler-160 d,3057.0,14.816,2020,0.31463,1.898e+27,1.12,71492.0,0.17,0.08213552,0.0,Transit Timing Variations,2.8509,2.5187200000000005,<0.5,No,Temperate,Low,Medium,Low,5.9716774e+26,17444.048,11428983.39278643,Unknown,Unknown,Unknown,Unknown,0.9999779376369472,1.3187853819645343,Moderately High,Methane World
Kepler-1610 b,2819.0,16.077,2016,3.22,5.972e+24,1.61,6371.0,0.0777,0.023819301,0.0,Transit,5.184200000000001,1.2491829000000003,<0.5,No,Hot,Unknown,Medium,High,1.9229840000000005e+25,10257.31,12198176.438280692,Low,Medium,Unknown,Medium,0.9999902344733588,1.3476284438107773,Extremely High,Lava World
Kepler-1611 b,2963.0,14.627,2016,0.457,5.972e+24,0.81,6371.0,0.0586,0.014236824,0.0,Transit,0.37017,0.8571422000000001,<0.5,No,Hot,Unknown,Unknown,High,2.729204e+24,5160.51,6839698.428588467,Low,Low,Unknown,Unknown,0.9999927791058124,1.3144790381940197,Moderately High,Rocky
Kepler-1612 b,2495.0,14.936,2016,1.08,5.972e+24,1.03,6371.0,0.0482,0.010677618,0.0,Transit,1.1124,0.7199152,<0.5,No,Hot,Unknown,Unknown,High,6.44976e+24,6562.13,9996318.781639395,Low,Low,Unknown,Unknown,0.9999941646648448,1.3215452186682284,Somewhat High,Rocky
Kepler-1613 b,4920.0,14.192,2016,4.98,5.972e+24,2.08,6371.0,0.0264,0.0041067763,0.0,Transit,10.3584,0.3746688,<0.5,No,Hot,Unknown,Medium,High,2.9740560000000005e+25,13251.68,11302993.1405842,Low,Low,Unknown,Unknown,0.9999970690097394,1.304537743023183,Moderate,Nomad Planet
Kepler-1614 b,3886.0,16.01,2016,2.83,5.972e+24,1.49,6371.0,0.0471,0.010677618,0.0,Transit,4.2167,0.7540710000000002,<0.5,No,Hot,Unknown,Medium,High,1.690076e+25,9492.79,12517127.90093652,Low,Medium,Unknown,Medium,0.9999943112143578,1.3461006718161228,Extremely High,Lava World
Kepler-1615 b,4547.0,14.603,2016,4.9,5.972e+24,2.06,6371.0,0.2788,0.12950034,0.0,Transit,10.094,4.0713164,<0.5,No,Hot,Unknown,Medium,Low,2.9262800000000004e+25,13124.26,11338417.136581725,Low,Low,Unknown,Unknown,0.99996344255784,1.3139009797108876,Moderately High,Titanium World
Kepler-1616 b,3712.0,13.491,2016,1.04,5.972e+24,1.02,6371.0,0.0761,0.018617386,0.0,Transit,1.0608,1.0266651,<0.5,No,Hot,Unknown,Unknown,Medium,6.210880000000001e+24,6498.42,9815756.741761437,Low,Low,Unknown,Unknown,0.999990447636287,1.2885038684602843,Moderately Low,Magnetic World
Kepler-1617 b,2930.0,13.811,2016,1.87,5.972e+24,1.2,6371.0,0.181,0.075290896,0.0,Transit,2.244,2.499791,<0.5,No,Hot,Unknown,Medium,Low,1.1167640000000002e+25,7645.2,12751753.40372628,Low,Medium,Unknown,Medium,0.9999764721418168,1.2958061854346057,Moderate,Jungle World
Kepler-1618 b,4010.0,13.672,2016,2.13,5.972e+24,1.26,6371.0,0.0706,0.01670089,0.0,Transit,2.6838,0.9652432,<0.5,No,Hot,Unknown,Medium,High,1.272036e+25,8027.46,13174353.256423526,Low,Medium,Unknown,Medium,0.999991180383852,1.2926428791355096,Moderate,Rocky
Kepler-1619 b,2397.0,13.438,2016,0.363,5.972e+24,0.76,6371.0,0.1611,0.06461328,0.0,Transit,0.27588,2.1648618,<0.5,No,Hot,Unknown,Unknown,Low,2.167836e+24,4841.96,6171208.67020809,Low,Low,Unknown,Unknown,0.9999791233557344,1.2872807832395885,Moderately Low,Rocky
Kepler-161 b,1418.0,14.406,2014,12.1,5.972e+24,2.12,6371.0,0.054,0.013415469,0.0,Transit,25.652,0.7779240000000001,<0.5,No,Hot,Unknown,Medium,High,7.22612e+25,13506.52,26436529.36923129,Low,Medium,Unknown,Medium,0.9999933919492304,1.3094268365511783,Moderately High,Rocky
Kepler-161 c,1418.0,14.406,2014,11.8,5.972e+24,2.05,6371.0,0.068,0.01943874,0.0,Transit,24.19,0.979608,<0.5,No,Hot,Unknown,Medium,High,7.046960000000001e+25,13060.55,27571797.260494545,Low,Medium,Unknown,Medium,0.99999152677361,1.309424971375558,Moderately High,Jungle World
Kepler-1620 b,2920.0,13.69,2016,3.22,5.972e+24,1.61,6371.0,0.4322,0.27926078,0.0,Transit,5.184200000000001,5.916817999999999,<0.5,No,Hot,Unknown,Medium,Low,1.9229840000000005e+25,10257.31,12198176.438280692,Low,Medium,Unknown,Medium,0.9999430055621136,1.2930062457651408,Moderate,Storm World
Kepler-1621 b,5322.0,15.151,2016,5.31,5.972e+24,2.16,6371.0,0.4204,0.25270364,0.0,Transit,11.4696,6.3694804,<0.5,No,Hot,Unknown,Medium,Low,3.171132e+25,13761.36,11175779.126854582,Low,Low,Unknown,Unknown,0.999944577638708,1.326411265644561,Somewhat High,Radiation World
Kepler-1622 b,2598.0,13.437,2016,2.76,5.972e+24,1.47,6371.0,0.0994,0.02956879,0.0,Transit,4.0572,1.3356378,<0.5,No,Hot,Unknown,Medium,Medium,1.648272e+25,9365.37,12541954.005540306,Low,Medium,Unknown,Medium,0.9999873434511471,1.287266139921036,Moderately Low,Rocky
Kepler-1623 b,2732.0,15.205,2016,2.27,5.972e+24,1.31,6371.0,0.0518,0.012046544,0.0,Transit,2.9737,0.787619,<0.5,No,Hot,Unknown,Medium,High,1.355644e+25,8346.01,12988950.36098842,Low,Medium,Unknown,Medium,0.9999936850482566,1.3276949974082182,Somewhat High,Rocky
Kepler-1624 b,845.0,16.597,2016,27.6,5.972e+24,0.509,71492.0,0.0327,0.009034907,0.0,Transit,14.0484,0.5427219000000001,<0.5,No,Hot,Unknown,Medium,High,1.648272e+26,36389.428,8307390.496935941,Low,Medium,Unknown,Unknown,0.9999962296807102,1.3595234142799146,Extremely High,Lava World
Kepler-1625 b,7536.0,16.227,2016,30.6,5.972e+24,0.541,71492.0,0.8748,0.7868583,0.0,Transit,16.5546,14.1953796,0.5-1,Yes,Hot,Unknown,Medium,Low,1.827432e+26,38677.172000000006,8153010.549114658,Low,Medium,Unknown,Unknown,0.9998840393671428,1.350951760799307,Extremely High,Lava World
Kepler-1626 b,4465.0,14.357,2016,4.74,5.972e+24,2.02,6371.0,0.0537,0.011225188,0.0,Transit,9.5748,0.7709708999999999,<0.5,No,Hot,Unknown,Medium,High,2.830728e+25,12869.42,11406867.42367112,Low,Low,Unknown,Unknown,0.9999934319172796,1.3083065692349438,Moderately High,Storm World
Kepler-1627 b,1035.0,13.111,2016,13.2,5.972e+24,0.329,71492.0,0.0643,0.019712524,0.0,Transit,4.3428,0.8430373,<0.5,No,Hot,Unknown,Medium,Medium,7.88304e+25,23520.868,9509840.72607031,Low,Medium,Unknown,Unknown,0.9999920197128812,1.2798173432301887,Moderately Low,Rocky
Kepler-1628 b,1148.0,17.8298,2016,33.8,5.972e+24,0.574,71492.0,0.2952,0.2091718,0.0,Transit,19.4012,5.26335696,<0.5,No,Hot,Unknown,Medium,Low,2.018536e+26,41036.408,7999890.1485797055,Low,Medium,Unknown,Unknown,0.9999612576378276,1.3876744589730508,Extremely High,Lava World
Kepler-1629 b,1096.0,12.786,2016,0.381,5.972e+24,0.77,6371.0,0.0485,0.010677618,0.0,Transit,0.29337,0.620121,<0.5,No,Hot,Unknown,Unknown,Medium,2.275332e+24,4905.67,6310072.026484871,Low,Low,Unknown,Unknown,0.9999941246967956,1.2723888386754871,Somewhat Low,Maelstrom World
Kepler-162 b,2791.0,14.351,2014,2.13,5.972e+24,1.26,6371.0,0.069,0.01889117,0.0,Transit,2.6838,0.9902190000000002,<0.5,No,Hot,Unknown,Medium,High,1.272036e+25,8027.46,13174353.256423526,Low,Medium,Unknown,Medium,0.99999139354678,1.3081673503806546,Moderately High,Plateau World
Kepler-162 c,2791.0,14.351,2014,9.43,5.972e+24,0.27,71492.0,0.137,0.053114302,0.0,Transit,2.5461,1.9660870000000004,<0.5,No,Hot,Unknown,Medium,Low,5.631596e+25,19302.84,10087307.788157644,Low,Medium,Unknown,Unknown,0.9999823341223382,1.3081582909562126,Moderately High,Rocky
Kepler-1630 b,1080.0,14.278,2016,5.43,5.972e+24,2.19,6371.0,1.1218,1.4,0.0,Transit,11.891699999999998,16.0170604,1-2,Yes,Temperate,Unknown,Medium,Low,3.242796e+25,13952.49,11117378.48213979,Unknown,Low,Unknown,Unknown,0.9998511323401256,1.306358059954557,Moderately High,Magnetic World
Kepler-1631 b,4260.0,15.673,2016,2.39,5.972e+24,1.35,6371.0,0.0511,0.011225188,0.0,Transit,3.2265000000000006,0.8008902999999999,<0.5,No,Hot,Unknown,Medium,High,1.4273080000000002e+25,8600.85,12877191.527259337,Low,Medium,Unknown,Medium,0.9999937783070376,1.3383951684026067,High,Rocky
Kepler-1632 b,2338.0,13.22,2016,6.66,5.972e+24,0.22,71492.0,0.6762,1.2273785,0.0,Transit,1.4652,8.939364000000001,0.5-1,No,Hot,Unknown,Medium,Low,3.9773520000000005e+25,15728.24,10730500.410724455,Low,Low,Unknown,Unknown,0.9999104982155864,1.2822279338550762,Moderately Low,Storm World
Kepler-1633 b,3637.0,13.516,2016,3.12,5.972e+24,1.58,6371.0,0.3875,0.5103354,0.0,Transit,4.929600000000001,5.23745,<0.5,No,Hot,Unknown,Medium,Low,1.8632640000000005e+25,10066.18,12272448.302509932,Low,Medium,Unknown,Medium,0.9999489608014158,1.2890339669745376,Moderately Low,Canyon World
Kepler-1634 b,2014.0,14.636,2016,10.3,5.972e+24,0.285,71492.0,1.0525,1.0264202,0.0,Transit,2.9355,15.40439,1-2,Yes,Temperate,Unknown,Medium,Low,6.15116e+25,20375.22,9888686.590106923,Unknown,Medium,Unknown,Unknown,0.9998603649594464,1.3145523947733384,Moderately High,Volcanic World
Kepler-1635 b,3489.0,15.82,2016,12.9,5.972e+24,0.325,71492.0,1.117,1.2856947,0.0,Transit,4.1925,17.67094,1-2,Yes,Temperate,Unknown,Medium,Low,7.703880000000001e+25,23234.9,9523883.983069347,Unknown,Medium,Unknown,Unknown,0.9998517718289096,1.3416140837773298,Extremely High,Lava World
Kepler-1636 b,6353.0,15.807,2016,10.5,5.972e+24,0.288,71492.0,1.1546,1.1649555,0.0,Transit,3.024,18.2507622,1-2,Yes,Temperate,Unknown,Medium,Low,6.2706000000000005e+25,20589.696,9871779.166192684,Unknown,Medium,Unknown,Unknown,0.9998467625001006,1.341311850066976,Extremely High,Lava World
Kepler-1637 b,1850.0,13.375,2016,0.64,5.972e+24,0.89,6371.0,0.0596,0.01670089,0.0,Transit,0.5696,0.79715,<0.5,No,Hot,Unknown,Unknown,Medium,3.82208e+24,5670.1900000000005,7933973.615707882,Low,Low,Unknown,Unknown,0.9999926458789824,1.2858539106830429,Moderately Low,Rocky
Kepler-1638 b,4976.0,14.769,2016,4.16,5.972e+24,1.87,6371.0,0.745,0.7099247,0.0,Transit,7.7792,11.002905,0.5-1,No,Hot,Unknown,Medium,Low,2.4843520000000003e+25,11913.77,11681561.742261542,Low,Medium,Unknown,Medium,0.9999013322096804,1.3176341960809137,Moderately High,Rocky
Kepler-1639 b,3364.0,14.593,2016,7.18,5.972e+24,0.23,71492.0,0.0932,0.027104722,0.0,Transit,1.6514,1.3600676,<0.5,No,Hot,Unknown,Medium,High,4.287896e+25,16443.16,10584244.902932264,Low,Low,Unknown,Unknown,0.9999881694574936,1.3136970724708914,Moderately High,Rocky
Kepler-163 b,2250.0,14.467,2014,1.16,5.972e+24,1.05,6371.0,0.078,0.021355236,0.0,Transit,1.218,1.128426,<0.5,No,Hot,Unknown,Unknown,High,6.92752e+24,6689.55,10331661.82137552,Low,Low,Unknown,Unknown,0.99999019450531,1.3108183073591213,Moderately High,Rocky
Kepler-163 c,2250.0,14.467,2014,5.73,5.972e+24,0.202,71492.0,0.152,0.05831622,0.0,Transit,1.1574600000000002,2.198984,<0.5,No,Hot,Unknown,Medium,Low,3.4219560000000004e+25,14441.384,10950727.979868293,Low,Low,Unknown,Unknown,0.9999803357198878,1.310808448573699,Moderately High,Rocky
Kepler-1640 b,6067.0,14.754,2016,20.7,5.972e+24,0.43,71492.0,0.0836,0.020807665,0.0,Transit,8.901,1.2334344,<0.5,No,Hot,Unknown,Medium,High,1.236204e+26,30741.56,8730207.02002431,Low,Medium,Unknown,Unknown,0.9999894484350615,1.3173793610968203,Moderately High,Canyon World
Kepler-1641 b,2807.0,14.49,2016,9.85,5.972e+24,0.277,71492.0,0.1473,0.053935662,0.0,Transit,2.72845,2.134377,<0.5,No,Hot,Unknown,Medium,Low,5.88242e+25,19803.284000000003,10010777.304580009,Low,Medium,Unknown,Unknown,0.9999809618859888,1.3113349332609945,Moderately High,Maelstrom World
Kepler-1641 c,2807.0,14.49,2016,9.01,5.972e+24,0.263,71492.0,0.2065,0.089527726,0.0,Transit,2.36963,2.992185,<0.5,No,Hot,Unknown,Medium,Low,5.380772e+25,18802.396,10157910.96748926,Low,Medium,Unknown,Unknown,0.9999730748576512,1.3113270462326567,Moderately High,Maelstrom World
Kepler-1642 b,1350.0,14.319,2016,10.3,5.972e+24,0.285,71492.0,0.1016,0.03340178,0.0,Transit,2.9355,1.4548104,<0.5,No,Hot,Unknown,Medium,High,6.15116e+25,20375.22,9888686.590106923,Low,Medium,Unknown,Unknown,0.9999870503521212,1.3074313779391165,Moderately High,Magnetic World
Kepler-1642 c,1350.0,14.319,2016,7.56,5.972e+24,0.237,71492.0,0.0678,0.0183436,0.0,Transit,1.7917199999999998,0.9708282,<0.5,No,Hot,Unknown,Medium,High,4.514832e+25,16943.604,10495816.06999758,Low,Low,Unknown,Unknown,0.9999915534189762,1.3074358810059714,Moderately High,Rocky
Kepler-1643 b,1115.0,14.072,2016,5.99,5.972e+24,0.207,71492.0,0.0531,0.01451061,0.0,Transit,1.23993,0.7472232,<0.5,No,Hot,Unknown,Medium,High,3.577228e+25,14798.844,10901273.594099568,Low,Low,Unknown,Unknown,0.9999935118533776,1.3017905761910245,Moderate,Jungle World
Kepler-1644 b,2053.0,14.397,2016,4.19,5.972e+24,1.88,6371.0,0.142,0.057768654,0.0,Transit,7.8772,2.044374,<0.5,No,Hot,Unknown,Medium,Low,2.502268e+25,11977.48,11640968.542750929,Low,Medium,Unknown,Medium,0.999981667988188,1.3092093418644513,Moderately High,Volcanic World
Kepler-1645 b,3922.0,14.566,2016,3.82,5.972e+24,1.78,6371.0,0.1285,0.044353183,0.0,Transit,6.7996,1.871731,<0.5,No,Hot,Unknown,Medium,Low,2.281304e+25,11340.38,11838976.254689105,Low,Medium,Unknown,Medium,0.9999834665503934,1.3130750573867371,Moderately High,Jungle World
Kepler-1646 b,416.0,16.8419,2016,2.04,5.972e+24,1.23,6371.0,0.0295,0.0123203285,0.0,Transit,2.5092,0.4968360499999999,<0.5,No,Hot,Unknown,Medium,High,1.218288e+25,7836.33,13240693.59967252,Low,Medium,Unknown,Medium,0.9999966560065664,1.3651230906857923,Extremely High,Lava World
Kepler-1647 b,3955.0,13.668,2016,1.51968,1.898e+27,1.059,71492.0,2.7205,3.0,0.06,Transit,1.6093411199999998,37.183794,>2,No,Cold,Low,Low,Low,2.88435264e+27,75710.02799999999,33583638.36603102,Low,High,Unknown,Medium,0.999638142606958,1.2921983877027556,Moderate,Rocky
Kepler-1649 b,301.0,17.95,2017,1.03,5.972e+24,1.017,6371.0,0.0514,0.023819301,0.0,Transit,1.04751,0.92263,<0.5,No,Hot,Unknown,Unknown,High,6.15116e+24,6479.307,9778812.298884006,Low,Low,Unknown,Unknown,0.9999937383389886,1.390455122032802,Extremely High,Lava World
Kepler-1649 c,301.0,17.95,2020,1.2,5.972e+24,1.06,6371.0,0.0649,0.05338809,0.0,Transit,1.272,1.164955,<0.5,No,Hot,Unknown,Unknown,High,7.1664e+24,6753.26,10487218.262174394,Low,Low,Unknown,Unknown,0.9999919397767832,1.3904533234705965,Extremely High,Lava World
Kepler-164 b,2906.0,14.379,2014,2.57,5.972e+24,1.41,6371.0,0.058,0.0136892535,0.0,Transit,3.6237,0.833982,<0.5,No,Hot,Unknown,Medium,High,1.534804e+25,8983.109999999999,12693625.735293508,Low,Medium,Unknown,Medium,0.9999928590419104,1.3088089914668042,Moderately High,Magnetic World
Kepler-164 c,2906.0,14.379,2014,7.9,5.972e+24,0.244,71492.0,0.097,0.029842572,0.0,Transit,1.9276,1.394763,<0.5,No,Hot,Unknown,Medium,High,4.717880000000001e+25,17444.048,10347574.135488125,Low,Low,Unknown,Unknown,0.9999876631955392,1.308803795620433,Moderately High,Nomad Planet
Kepler-164 d,2906.0,14.379,2014,6.57,5.972e+24,0.219,71492.0,0.187,0.07939767,0.0,Transit,1.43883,2.688873,<0.5,No,Hot,Unknown,Medium,Low,3.9236040000000005e+25,15656.748,10682385.533733672,Low,Low,Unknown,Unknown,0.9999756727808368,1.3087918052057304,Moderately High,Magnetic World
Kepler-1650 b,438.0,17.07,2017,0.84,5.972e+24,0.96,6371.0,0.0167,0.0041067763,0.01,Transit,0.8063999999999999,0.285069,<0.5,No,Hot,Unknown,Unknown,High,5.01648e+24,6116.16,8950094.300743714,Low,Low,Unknown,Unknown,0.9999983613099906,1.3703399407146273,Extremely High,Lava World
Kepler-1651 b,217.0,13.86,2017,4.04,5.972e+24,1.84,6371.0,0.0692,0.027104722,0.13,Transit,7.4336,0.959112,<0.5,No,Hot,Unknown,Medium,High,2.412688e+25,11722.64,11717541.768837566,Low,Medium,Unknown,Medium,0.999991366901414,1.2969413874784863,Moderate,Nomad Planet
Kepler-1652 b,822.0,16.86,2017,3.19,5.972e+24,1.6,6371.0,0.1654,0.104312114,0.0,Transit,5.104,2.788644,<0.5,No,Hot,Unknown,Medium,Low,1.905068e+25,10193.6,12236057.49401676,Low,Medium,Unknown,Medium,0.9999785504803652,1.3655188129523577,Extremely High,Lava World
Kepler-1653 b,2463.0,15.864,2017,5.35,5.972e+24,2.17,6371.0,0.4706,0.38412046,0.0,Transit,11.6095,7.465598400000001,<0.5,No,Hot,Unknown,Medium,Low,3.19502e+25,13825.07,11156426.421364944,Low,Low,Unknown,Unknown,0.9999378896518404,1.3427061918147194,Extremely High,Lava World
