name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,size_score,star_planet_interaction,mass_multiplier_squared,radius_multiplier_squared,orbital_radius_squared,orbital_radius_bin,expanded_planet_type,habitable_zone,planet_surface_temperature,geological_activity_potential,atmospheric_pressure,potential_for_liquid_water,biosignature_potential,radiation_exposure,approximated_mass,approximated_radius,planet_gravity,climate_stability,atmospheric_retention_potential,possibility_of_moon,planetary_composition_hypothesis,atmospheric_density,normalized_stellar_magnitude,normalized_orbital_radius,energy_receipt_score,planetary_energy_receipt,planetary_composition_hypothesis_v2,planetary_composition_hypothesis_v3,planetary_composition_hypothesis_v4,planetary_composition_hypothesis_v5,combined_planetary_composition_hypothesis
24 Sextantis c,235.0,6.4535,Gas Giant,2010,0.86,1.898e+27,1.24,71492.0,2.08,2.4,0.29,Radial Velocity,1.0664,13.42328,0.7395999999999999,1.5376,4.3264000000000005,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,1.63228e+27,88650.08,13861894.7791219,Low,,High,Unknown,Medium,0.1276121450454982,0.9997234743915917,1.1273356194370898,Extremely Low,Unknown,Unknown,Storm World,Shadow World,Storm World
2M0437 b,419.0,16.186,Gas Giant,2021,4.0,1.898e+27,1.16,71492.0,118.0,3110.6,0.0,Direct Imaging,4.64,1909.948,16.0,1.3456,13924.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,7.592e+27,82930.72,73673538.60429803,Low,,High,Unknown,Medium,0.3501303214596004,0.9842798202546241,1.3344101417142245,High,Unknown,Unknown,Unknown,Unknown,Rocky
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,13.0,1.898e+27,1.1,71492.0,84.0,1767.2,0.0,Direct Imaging,14.3,1326.192,169.0,1.2100000000000002,7056.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,2.4674e+28,78641.20000000001,266271999.19364965,Low,,High,Unknown,Medium,0.341030682701541,0.9888095324756119,1.329840215177153,High,Unknown,Unknown,Iron World,Garden World,Iron World
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,24.5,1.898e+27,1.0,71492.0,52.0,593.2,0.0,Direct Imaging,24.5,740.688,600.25,1.0,2704.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,4.6501e+28,71492.0,607202570.4689034,Low,,High,Unknown,Medium,0.3057295715396223,0.9930727910365416,1.298802362576164,Moderate,Unknown,Unknown,Iron World,Unknown,Iron World
2MASS J02192210-3925225 b,131.0,13.543,Gas Giant,2015,13.9,1.898e+27,1.44,71492.0,156.0,5878.1,0.0,Direct Imaging,20.016,0.0720863,193.21,2.0736,24336.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,2.6382199999999996e+28,102948.48,166133545.318361,Low,,High,Unknown,Medium,0.289702318350176,0.9792172007135203,1.29175026758669,Extremely Low,Unknown,Unknown,Iron World,Sky World,Iron World
2MASS J04414489+2301513 b,393.0,13.543,Gas Giant,2010,7.5,1.898e+27,1.13,71492.0,15.0,411.0,0.0,Direct Imaging,8.475,0.0720863,56.25,1.2768999999999997,225.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,1.4235e+28,80785.95999999999,145570003.8363568,Low,,High,Unknown,Medium,0.289702318350176,0.9980021837476164,1.29175026758669,Extremely Low,Unknown,Unknown,Iron World,Unknown,Iron World
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,5.0,1.898e+27,1.15,71492.0,55.0,2885.9,0.0,Direct Imaging,5.75,1108.25,25.0,1.3224999999999998,3025.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,9.490000000000001e+27,82215.79999999999,93700485.39314124,Low,,High,Unknown,Medium,0.4407608944167543,0.9926731105464544,1.4334340049632086,Extremely High,Unknown,Unknown,Lava World,Nexus World,Lava World
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,1.9,1.898e+27,1.2,71492.0,0.92,1.1115674,0.33,Eclipse Timing Variations,2.28,11.63892,3.61,1.44,0.8464,0.5-1,Gas Giant - Close,Yes,Temperate,,Low,,Medium,Low,3.6062e+27,85790.4,32700818.704391062,Unknown,,High,Unknown,Medium,0.26930815309341993,0.9998780175144254,1.2691861706078453,Somewhat Low,Unknown,Unknown,Unknown,Unknown,Rocky
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,12.5,1.898e+27,1.1,71492.0,230.0,4505.7,0.0,Direct Imaging,13.750000000000002,2844.64,156.25,1.2100000000000002,52900.0,>2,Gas Giant - Close,No,Cold,,Low,,Medium,Low,2.3725e+28,78641.20000000001,256030768.4554323,Low,,High,Unknown,Medium,0.2628378069413325,0.9693584152913706,1.232196222232703,Low,Unknown,Unknown,Iron World,Fragmented World,Iron World
30 Arietis B b,146.0,7.09209,Gas Giant,2009,13.82,1.898e+27,1.1,71492.0,0.99,0.9174538,0.29,Radial Velocity,15.202000000000002,7.0211691,190.9924,1.2100000000000002,0.9801,0.5-1,Gas Giant - Close,Yes,Temperate,,Low,,Medium,Low,2.623036e+28,78641.20000000001,283067617.60432595,Unknown,,High,Unknown,Medium,0.14221249256939045,0.9998686916363234,1.142081184205714,Extremely Low,Unknown,Unknown,Iron World,Shadow World,Iron World
